Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
Highlander Hybrid,2022,,,36.0,Automatic,2.5L,221,29,45
Highlander Hybrid AWD,2022,,,35.0,Automatic,2.5L,221,29,45
Highlander Hybrid AWD LTD/PLAT,2022,,,35.0,Automatic,2.5L,221,29,45
Mirai LE,2022,,74.0,,Automatic,134 kW electric motor,221,27,9
Mirai Limited,2022,,65.0,,Automatic,134 kW electric motor,221,27,9
Mirai XLE,2022,,74.0,,Automatic,134 kW electric motor,221,27,9
Prius,2022,,,52.0,Automatic,1.8L,221,27,45
Prius AWD,2022,,,49.0,Automatic,1.8L,221,27,45
Prius Eco,2022,,,56.0,Automatic,1.8L,221,27,45
Prius Prime,2022,25.0,133.0,54.0,Automatic,1.8L,221,27,57
RAV4 Hybrid AWD,2022,,,40.0,Automatic,2.5L,221,29,45
RAV4 Prime AWD,2022,42.0,94.0,38.0,Automatic,2.5L,221,27,57
Sienna AWD,2022,,,35.0,Automatic,2.5L,221,9,45
TUNDRA 2WD,2022,,,22.0,Automatic,3.4L,221,25,45
TUNDRA 4WD,2022,,,20.0,Automatic,3.4L,221,25,45
TUNDRA 4WD PRO,2022,,,19.0,Automatic,3.4L,221,25,45
Venza AWD,2022,,,39.0,Automatic,2.5L,221,29,45
ID.4 AWD Pro,2022,251.0,101.0,,Automatic,80 and 150 kW electric motors,347,29,41
ID.4 AWD Pro S,2022,245.0,95.0,,Automatic,80 and 150 kW electric motors,347,29,41
ID.4 Pro,2022,275.0,107.0,,Automatic,150 kW electric motor,347,29,41
ID.4 Pro S,2022,262.0,102.0,,Automatic,150 kW electric motor,347,29,41
C40 Recharge Twin,2022,226.0,87.0,,Automatic,150 kW electric motors (X2),395,29,41
S60 T8 AWD Recharge,2022,22.0,69.0,30.0,Automatic,2.0L,395,27,57
S60 T8 AWD Recharge ext. Range,2022,40.0,74.0,31.0,Automatic,2.0L,395,27,57
S90 T8 AWD Recharge,2022,21.0,63.0,30.0,Automatic,2.0L,395,27,57
S90 T8 AWD Recharge ext. Range,2022,38.0,66.0,29.0,Automatic,2.0L,395,27,57
V60 T8 AWD Recharge,2022,22.0,69.0,30.0,Automatic,2.0L,395,27,57
V60 T8 AWD Recharge ext. Range,2022,40.0,74.0,31.0,Automatic,2.0L,395,27,57
XC40 Recharge Twin,2022,223.0,85.0,,Automatic,150kW electric motor,395,29,41
XC60 T8 AWD Recharge,2022,19.0,57.0,25.0,Automatic,2.0L,395,29,57
XC60 T8 AWD Recharge ext. Range,2022,36.0,63.0,28.0,Automatic,2.0L,395,29,57
XC90 T8 AWD Recharge,2022,18.0,55.0,27.0,Automatic,2.0L,395,29,57
XC90 T8 AWD Recharge ext. Range,2022,36.0,66.0,26.0,Automatic,2.0L,395,29,57
NSX,2021,,,21.0,Automatic,3.5L,365,27,45
A4 allroad quattro,2021,,,26.0,Automatic,2.0L,377,27,45
A4 quattro,2021,,,28.0,Automatic,2.0L,377,27,45
A4 S line quattro,2021,,,27.0,Automatic,2.0L,377,27,45
A5 Cabriolet quattro,2021,,,26.0,Automatic,2.0L,377,27,45
A5 quattro,2021,,,27.0,Automatic,2.0L,377,27,45
A5 Sportback quattro,2021,,,28.0,Automatic,2.0L,377,27,45
A5 Sportback S line quattro,2021,,,27.0,Automatic,2.0L,377,27,45
A6 Allroad,2021,,,22.0,Automatic,3.0L,377,27,45
A6 quattro,2021,,,24.0,Automatic,3.0L,377,27,45
A7 quattro,2021,24.0,68.0,29.0,Automatic,2.0L,377,27,57
A7 quattro,2021,,,24.0,Automatic,3.0L,377,27,45
A8L,2021,,,18.0,Automatic,4.0L,377,27,45
A8L,2021,18.0,53.0,23.0,Automatic,3.0L,377,27,57
e-tron,2021,222.0,78.0,,Automatic,141 kW and 172 kW electric motor,377,29,41
e-tron Sportback,2021,218.0,77.0,,Automatic,141 kW and 172 kW electric motor,377,29,41
Q5,2021,,,25.0,Automatic,2.0L,377,29,45
Q5,2021,19.0,50.0,27.0,Automatic,2.0L,377,29,57
Q5 Sportback,2021,,,25.0,Automatic,2.0L,377,29,45
